Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Tổng_Tiện_Ích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,2.5,1.252762968495368,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,5.0,1.791759469228055,50.0,3.9318256327243257,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.5,1.252762968495368,40.0,3.713572066704308,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.5,1.7047480922384253,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,1.23,0.8020015854720274,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.3,0.832909122935104,12.0,2.5649493574615367,1,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,2.4,1.2237754316221157,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,4.8,1.7578579175523736,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,4.5,1.7047480922384253,35.0,3.58351893845611,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,1.0,0.6931471805599453,50.0,3.9318256327243257,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,3.0,1.3862943611198906,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,3.8,1.5686159179138452,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.3,1.1939224684724346,25.0,3.258096538021482,2,0,1,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.8,1.33500106673234,28.0,3.367295829986474,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,4.0,1.6094379124341003,20.0,3.044522437723423,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,1.55,0.9360933591703348,50.0,3.9318256327243257,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,1.9,1.0647107369924282,20.0,3.044522437723423,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.0,1.0986122886681098,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,4.0,1.6094379124341003,30.0,3.4339872044851463,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,3.5,1.5040773967762742,22.0,3.1354942159291497,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,3.0,1.3862943611198906,15.0,2.772588722239781,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,1.0,0.6931471805599453,25.0,3.258096538021482,1,0,0,0,0,0,0,0,1,0,0
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,3.0,1.3862943611198906,18.0,2.9444389791664403,3,1,0,0,0,1,0,0,0,1,0
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,2.5,1.252762968495368,25.0,3.258096538021482,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.5,1.252762968495368,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.5,1.252762968495368,16.0,2.833213344056216,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,1.5,0.9162907318741551,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.5,1.252762968495368,18.0,2.9444389791664403,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.5,0.9162907318741551,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,3.2,1.4350845252893227,34.0,3.5553480614894135,2,0,0,0,0,0,0,0,1,0,1
